"record_id","image_path","original_time","license","source","source_details","source_url","source_name","source_version","original_filename","license_basis","generated_data_indicator","completion_status","required_action","source_dataset_code","source_confidence"
"sha256:5dcff38537d0567585239ff79a9b090d67ba61e52bd6c896d52144f7b0cbfb3f","data/images/test/08492A_jpg.rf.73eea05ad46eba3f271758f7fd7c629a_0_0.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","08492A_jpg.rf.73eea05ad46eba3f271758f7fd7c629a_0_0.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","medium"
"sha256:b9e21b1d03e2bff3294e34cce8e01e644f6af88595344ebc43883e9ee0b18341","data/images/test/65897A-1-_jpg.rf.1b7d77ce14cf5c55bfd05d6bb38e7f0b_1_1.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","65897A-1-_jpg.rf.1b7d77ce14cf5c55bfd05d6bb38e7f0b_1_1.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","medium"
"sha256:60259dc1f6d9fcd950ca83571cb85803b6b021c86d0bc00cf60c60ba97468d85","data/images/test/Aurora_Blueberry_1_650x_jpg.rf.fd40e0adfe8020dc1642603db3864e65_0_1.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","Aurora_Blueberry_1_650x_jpg.rf.fd40e0adfe8020dc1642603db3864e65_0_1.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","medium"
"sha256:14a35930c38bb57067d52cd457d9fece2482b1cef6e5dd6fe7ac35494e730024","data/images/test/Aurora_Blueberry_1_650x_jpg.rf.fd40e0adfe8020dc1642603db3864e65_1_1.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","Aurora_Blueberry_1_650x_jpg.rf.fd40e0adfe8020dc1642603db3864e65_1_1.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","medium"
"sha256:317af20b7dd684b65d1f03e4242e79b1b1158bd87cbe12d964284a706893156a","data/images/test/Blueberry_Jersey_1_jpg.rf.e9df44fcbac4216d622380d5139bf0d0_1_0.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","Blueberry_Jersey_1_jpg.rf.e9df44fcbac4216d622380d5139bf0d0_1_0.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","medium"
"sha256:9b6123eb28ed4924daeff9888343453e4e357bf9872f89889721b406270a04e5","data/images/test/Blueberry_jpg.rf.a702aa2903b539664a601d53d7c747aa_1_1.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","Blueberry_jpg.rf.a702aa2903b539664a601d53d7c747aa_1_1.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","medium"
"sha256:accd8993a30cdfee9fefec08468cf0b1ddce6607070a671a786b66a640e97253","data/images/test/DSCF5190_JPG.rf.22a61c05d34f6d838daab35182a80be8_1_5.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","DSCF5190_JPG.rf.22a61c05d34f6d838daab35182a80be8_1_5.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","high"
"sha256:ab657ed7582174f7a54c6b5e8fa6f99c8dd9c90188de161c5d78724ffffde620","data/images/test/DSCF5190_JPG.rf.22a61c05d34f6d838daab35182a80be8_2_1.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","DSCF5190_JPG.rf.22a61c05d34f6d838daab35182a80be8_2_1.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","high"
"sha256:b2cc0e4122d1f5f301cda7d41d6d88cc9687d006b21995b013c6805dece3a0e7","data/images/test/DSCF5190_JPG.rf.22a61c05d34f6d838daab35182a80be8_3_5.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","DSCF5190_JPG.rf.22a61c05d34f6d838daab35182a80be8_3_5.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","high"
"sha256:6bbfe8d4597239ba73e2b7e1e86d6f97ee139bbb315f6848b90d0a0b19020df3","data/images/test/DSCF5192_JPG.rf.c867078ba5d3b29f72fd867d298c2daf_3_3.jpg","2024-02-28","CC BY-NC-SA 4.0","公开数据集","Kaggle zhengkunli3969/blueberry-detection-dataset; https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","https://www.kaggle.com/datasets/zhengkunli3969/blueberry-detection-dataset","zhengkunli3969/blueberry-detection-dataset","v1.0","DSCF5192_JPG.rf.c867078ba5d3b29f72fd867d298c2daf_3_3.jpg","Dataset licensed under CC BY-NC-SA 4.0","0","SOURCE_DETAILS_ENHANCED","来源详情已增强，包含URL、版本、文件名和授权依据","B_KAGGLE_BLUEBERRY_DETECTION","high"
