epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1505,1.47358,1.72477,1.55811,0.63666,0.65428,0.67721,0.40803,1.32235,1.29851,1.40907,0.000475025,0.000475025,0.000475025
2,135.732,1.44486,1.40127,1.503,0.66805,0.69723,0.71641,0.38263,1.48225,1.22788,1.52917,0.000946649,0.000946649,0.000946649
3,194.496,1.41417,1.3193,1.49239,0.7,0.69897,0.73252,0.44774,1.28463,1.18665,1.39274,0.00141356,0.00141356,0.00141356
4,253.42,1.37429,1.27056,1.46365,0.66098,0.74928,0.73965,0.47289,1.19591,1.17743,1.30727,0.00140778,0.00140778,0.00140778
5,312.499,1.36456,1.23781,1.43585,0.67519,0.78423,0.75167,0.51798,1.13824,1.08445,1.28012,0.00140071,0.00140071,0.00140071
6,372.11,1.32486,1.17326,1.41241,0.67406,0.76676,0.77205,0.53922,1.09163,1.01596,1.269,0.00139363,0.00139363,0.00139363
7,431.812,1.28159,1.11961,1.38932,0.68521,0.75494,0.75307,0.54215,1.01062,1.04354,1.22143,0.00138656,0.00138656,0.00138656
8,491.703,1.28601,1.10946,1.39718,0.74532,0.76541,0.79781,0.55737,1.03806,0.92753,1.22423,0.00137949,0.00137949,0.00137949
9,550.979,1.2825,1.09186,1.39717,0.74656,0.74551,0.78757,0.55477,1.07249,0.94755,1.25773,0.00137241,0.00137241,0.00137241
10,612.069,1.27819,1.08579,1.39401,0.749,0.74771,0.80992,0.58534,1.02891,0.93245,1.23281,0.00136534,0.00136534,0.00136534
11,674.362,1.2452,1.05533,1.3561,0.74405,0.77967,0.81093,0.58456,1.01323,0.92512,1.20955,0.00135826,0.00135826,0.00135826
12,737.462,1.24412,1.04125,1.36243,0.74,0.78048,0.80394,0.59537,0.94861,0.92921,1.17438,0.00135119,0.00135119,0.00135119
13,798.536,1.22547,1.02003,1.34925,0.74092,0.77101,0.81293,0.6068,0.95234,0.8863,1.1728,0.00134412,0.00134412,0.00134412
14,859.241,1.21147,1.00612,1.33415,0.732,0.7906,0.81353,0.59802,0.96767,0.87797,1.17845,0.00133704,0.00133704,0.00133704
15,919.983,1.21486,1.01428,1.33236,0.74919,0.80473,0.82004,0.60014,0.96785,0.85536,1.17874,0.00132997,0.00132997,0.00132997
16,981.382,1.22032,0.98365,1.34235,0.72784,0.78491,0.81816,0.61645,0.91476,0.84609,1.15166,0.0013229,0.0013229,0.0013229
17,1041.74,1.19087,0.97509,1.3224,0.74783,0.8076,0.82475,0.5961,1.00437,0.84598,1.19189,0.00131582,0.00131582,0.00131582
18,1101.99,1.18905,0.96501,1.32736,0.72896,0.81003,0.81792,0.60895,0.93974,0.85166,1.16721,0.00130875,0.00130875,0.00130875
19,1161.99,1.18841,0.9608,1.32759,0.75463,0.79574,0.81549,0.61195,0.93501,0.82073,1.16707,0.00130168,0.00130168,0.00130168
20,1221.99,1.17032,0.94248,1.31427,0.74414,0.80145,0.82257,0.62429,0.91123,0.83727,1.1509,0.0012946,0.0012946,0.0012946
21,1282.27,1.18931,0.94485,1.32901,0.75094,0.77823,0.82045,0.60195,0.94581,0.81668,1.18417,0.00128753,0.00128753,0.00128753
22,1342.53,1.18189,0.91731,1.32858,0.73077,0.81224,0.83847,0.61567,0.95971,0.81185,1.16916,0.00128046,0.00128046,0.00128046
