epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2273,1.94584,1.7809,1.47296,0.49215,0.57105,0.50854,0.20867,1.98433,1.4216,1.53582,0.000474601,0.000474601,0.000474601
2,74.1906,1.94742,1.49692,1.47011,0.51302,0.55285,0.51119,0.22109,1.92136,1.33429,1.52379,0.000946227,0.000946227,0.000946227
3,114.78,1.94006,1.44325,1.46238,0.54005,0.59158,0.53354,0.22339,1.9709,1.37107,1.51017,0.00141314,0.00141314,0.00141314
4,148.021,1.92951,1.42729,1.45579,0.48236,0.56673,0.51248,0.21028,1.92305,1.54041,1.5053,0.00140778,0.00140778,0.00140778
5,180.814,1.92168,1.41127,1.45808,0.55204,0.58357,0.53448,0.23486,1.91523,1.32789,1.48145,0.00140071,0.00140071,0.00140071
6,214.035,1.91806,1.34431,1.44082,0.56541,0.62651,0.55856,0.25276,1.88083,1.28401,1.46364,0.00139363,0.00139363,0.00139363
7,246.709,1.90338,1.33479,1.43792,0.57403,0.63334,0.56922,0.25226,1.90266,1.28632,1.47545,0.00138656,0.00138656,0.00138656
8,279.54,1.88812,1.32304,1.43232,0.54243,0.63945,0.57142,0.24843,1.88262,1.25051,1.48383,0.00137949,0.00137949,0.00137949
9,313.202,1.88445,1.31656,1.42507,0.53672,0.62595,0.58324,0.26451,1.8773,1.20452,1.45732,0.00137241,0.00137241,0.00137241
10,346.092,1.87453,1.28744,1.41617,0.55372,0.60154,0.56297,0.26084,1.85687,1.23634,1.45099,0.00136534,0.00136534,0.00136534
11,379.044,1.8773,1.27962,1.41712,0.5464,0.64755,0.58259,0.25666,1.8816,1.22268,1.47449,0.00135826,0.00135826,0.00135826
12,411.745,1.8736,1.26308,1.40378,0.57433,0.62252,0.60271,0.2733,1.86983,1.18468,1.45047,0.00135119,0.00135119,0.00135119
13,444.862,1.87404,1.2509,1.40163,0.57365,0.63123,0.59681,0.27053,1.86734,1.20251,1.44259,0.00134412,0.00134412,0.00134412
14,477.704,1.86545,1.26079,1.41487,0.58875,0.63978,0.60404,0.26991,1.8704,1.16689,1.45161,0.00133704,0.00133704,0.00133704
15,510.457,1.8583,1.24741,1.4022,0.56449,0.63504,0.59095,0.26998,1.85997,1.21427,1.43988,0.00132997,0.00132997,0.00132997
